Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B02182,"FINEST CAR SERVICE, LLC",,2020,12,December,4494,0,46
B01614,R TRANSPORT INC,,2019,2,February,288,0,7
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2021,1,January,974,0,5
B02898,SANO CAR LLC,,2020,12,December,2656,0,15
B01200,NEW YORK APPLE CAR SERVICE INC,N Y LIMO & CAR SVCE,2018,1,January,4191,0,23
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",,2019,12,December,21396,0,91
B02016,PLANET LIMOUSINE LLC,,2018,6,June,1720,0,34
B01312,BROOKLYN RAD DISP INC,,2019,1,January,4812,129,33
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2018,7,July,1285,0,33
B03073,"TRANSMEDI, LLC",,2018,8,August,63,0,2
B02687,ECO RIDE INC.,ELECTRIC BLUE CAR SERVICE,2019,5,May,1881,0,10
B01800,EMPIRE INTERNATIONAL LTD.,,2018,9,September,8439,0,262
B00037,TRANSP UNLIMITED C/S,,2017,7,July,5097,0,43
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2016,6,June,32209,0,177
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2022,5,May,689,0,4
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,2018,7,July,5366,0,112
B01311,DISCOUNT CAR SVCE,,2020,9,September,348,0,5
B02182,"FINEST CAR SERVICE, LLC",,2021,2,February,2762,0,32
B01479,PRATT CAR SERVICE INC,,2022,3,March,55,0,1
B00401,TREMONT DISPATCHING CORP,,2019,9,September,803,0,4
B02462,TIFFANY'S CAR SERVICE INC.,,2020,6,June,41,0,2
B01039,NYC WHEELS CAR SERVICE INC.,COMMUNICARE CAR SERVICE,2016,4,April,818,0,7
B02373,QUIET SERVICES INC,GOLDEN CLASS LIMO,2020,2,February,62,0,4
B03110,BETTER CAR & LIMOUSINE SERVICE INC,BELTWAY CAR SERVICE,2016,6,June,1,0,1
B02797,CJ LIMOUSINE LLC,,2021,4,April,175,0,11
B03177,BERNICE SERVICES INC,,2021,2,February,892,0,9
B01194,440 CAR SERVICE INC.,,2017,12,December,5639,0,25
B02120,HARRISON GLOBAL LLC,BOSTON COACH,2015,8,August,7548,0,154
B02988,"BED STAR DRIVERS ASSOCIATES, INC",,2020,7,July,765,0,6
B00559,7 OCEAN EXPRESS INC.,,2020,12,December,25,0,9
B03282,HOLY TRANSPORTATION CORP.,,2021,2,February,703,0,24
B02440,MLL LIMOUSINE SERVICES INC.,,2017,12,December,1154,0,37
B02429,SEAGULL RIDE CORP,,2021,11,November,4166,0,11
B00789,VITAL TRANSPORTATION INC.,,2019,11,November,7136,0,166
B01811,IVOIRE LIMO INC.,,2018,2,February,823,0,18
B01196,DIPLO RAD DISP INC,,2021,11,November,7595,0,53
B00789,VITAL TRANSPORTATION INC.,,2017,10,October,12253,0,210
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2019,5,May,1081,0,18
B02963,GULF LUXURY INC,,2018,8,August,211,0,5
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2019,7,July,11478,0,60
B01492,MOBILE #1 CAR SERVICE INC.,,2019,9,September,21,0,4
B02410,"POLO LIMOUSINE, CORP.",,2016,8,August,1120,0,41
B03107,JD XPRESS INC.,,2019,1,January,439,0,4
B03361,D MANNY SAFE RIDE CORP.,,2021,10,October,174,0,1
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2019,12,December,363,0,14
B01081,GEORGE TOWN MANAGEMENT INC,,2016,4,April,1791,0,17
B02998,GENESIS LUXURY TRANSPORTATION CORP.,,2019,4,April,7071,0,36
B02749,FACE LIMO INC,,2017,7,July,573,0,16
B02468,GROUNDLINK HOLDINGS LLC,GROUNDLINK YOUR'E GOOD TO GO,2017,5,May,942,0,46
B01989,"ICS-NY, INC.",,2017,12,December,607,0,27
B02144,"SILVER STAR LIMOUSINES, INC.",,2022,1,January,183,0,4
B00448,DIAL CAR INC.,,2015,1,January,89,0,9
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2020,10,October,2035,0,10
b00990,"MIRAGE LIMOUSINE SERVICE, INC.",UFO PVT C/L SERVICE,2016,3,March,62,0,1
B01445,J T TRANSPORTATION CO INC,,2021,11,November,1821,0,33
B02175,MURRAY'S LIMOUSINE SERVICE INC.,,2016,4,April,68,0,10
B02925,SIGNATURE BLACK CAR LLC,,2017,11,November,731,0,33
B02315,LA MORENITA CAR LIMO SERVICE INC,,2021,12,December,1451,0,8
B01454,FREEDOM LIMO & CAR SERVICE,,2022,3,March,2020,0,9
B01923,"AVID INTERNATIONAL, INC.",,2017,5,May,1111,0,16
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2017,4,April,1482,0,41
B01553,CITY LINE CAR SERVICE INC,,2020,5,May,1173,0,12
B00536,"WINTHROP HOLDING OF NEW YORK, INC",,2020,10,October,1731,0,13
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2017,9,September,1564,0,12
B01663,CIBAO RADIO DISPATCH,,2019,3,March,8116,0,44
B00222,"REYNO CAR SVC, INC.",,2017,3,March,3750,0,22
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2021,7,July,781,0,6
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2019,3,March,93,0,10
B02298,NYG LIMOUSINE LLC,,2021,3,March,57,0,2
B01700,LINDEN EXPRESS CAR SERVICES INC.,,2018,2,February,1003,0,6
B03085,A & A AMAZOON TRANSPORTATION INC.,,2022,1,January,24,0,8
B02162,A B C SHUTTLE SERVICES CORPORATION,ABC CAR SERVICES,2021,12,December,3672,0,31
B02803,OUTSIDE'S CAR SERVICE INC.,,2019,6,June,8272,0,46
B01338,3210 WEBSTER AV PRESTIGE C/S,,2022,6,June,19034,0,115
B00318,APPLE RADIO CARS INC,,2018,8,August,5,0,2
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2020,7,July,888,0,4
B00281,"VEE CEE LIMOUSINE SERVICE, INC",NOSTRAND CAR SVCE,2017,7,July,2287,0,14
B02661,MIC-LOU CAR SERVICES_LLC,LULU CAR SERVICES,2015,12,December,2184,0,6
B01525,NORTHSIDE BK LLC,,2018,3,March,2544,0,114
B01928,DISCOVER LIMO INC,INFINITY LIMO,2021,3,March,1,0,1
B02803,OUTSIDE'S CAR SERVICE INC.,,2018,9,September,7332,0,46
B02769,MAVROS TRANSPORTATION INC,,2018,5,May,226,0,9
B02410,"POLO LIMOUSINE, CORP.",,2022,5,May,1266,0,33
B01949,FIRST CLASS OF NEW YORK INC.,NEW YORK FIRST CLASS,2015,11,November,1669,0,71
VIA,VIA,VIA,2016,7,July,516639,0,1492
B02536,SEAGULL RIDE CORP,,2022,1,January,2787,0,8
B02553,"NEW JUBILEE CAR SERVICE, INC.",,2019,10,October,2584,0,24
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2015,6,June,2219,0,13
B03202,JUPITER SELECT LLC,,2020,12,December,557,0,8
B01721,W.K. CAR & LIMO SERVICE INC,,2022,6,June,275,0,3
B03060,EASTLAND BLACK CARS CORP,,2019,1,January,21993,0,104
B02799,CHURCH AVENUE EXPRESS INC,,2022,6,June,2409,0,8
B01351,HADERECH CAR SERVICE INC,,2018,2,February,339,0,3
B00856,BEE-BEE CAR SERVICE INC.,,2015,4,April,22913,0,77
B02491,CALL THREES LLC,,2019,11,November,86,0,2
B03408,ABR LUXURY TRANSPORTATION CORP.,,2022,4,April,449,0,6
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2021,4,April,458,0,12
B02724,"CORE CAR, INC",,2019,12,December,376,0,20
B02947,"ONIX TRANSPORTATION, INC",,2016,10,October,93,0,7
B03166,TURING ENTERPRISES INC.,,2019,5,May,399,0,12
B01389,METRO LUXURY INC,,2017,2,February,5593,0,88
B03031,ALLIANCE LIMOUSINE INC,,2019,8,August,74,0,8
B02833,ADVANCED LUXURY LIMO SVC. INC.,,2019,3,March,262,0,7
B00429,SURF CAR SYSTEMS INC,,2019,5,May,3413,0,23
B01020,MICHAELS CAR SERVICE INC.,UNION LIMO AND CAR SERVICE INC,2019,8,August,409,0,8
B02611,SS LIMOUSINE SERVICE INC,,2017,7,July,70,0,4
B01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2019,1,January,3787,0,17
B01065,EL BARRIO'S CAR SERVICE LLC,,2021,10,October,9360,0,57
B03310,"BURAQ-NY, LLC",,2021,3,March,1,0,1
B02597,"RUDY'S LIMOUSINE SERVICE, INC.",RUDY'S EXECUTIVE TRANSPORTATION,2016,6,June,28,0,10
B00170,EMUNAH CAR SERVICE INC,,2017,9,September,1131,0,6
B03101,MBS LIMOS LTD,,2022,5,May,5,0,1
B03174,NEW HEAVEN LUXURY INC,,2020,10,October,500,0,8
B02320,GDS TRANSPORTATION CORP.,UPPER CAR SERVICE,2017,2,February,2378,0,29
B03007,THE NEW SPANISH CAR & LIMO INC,,2019,10,October,173,0,9
B03041,PUEBLA CITY INC.,,2020,6,June,1543,0,7
B02799,CHURCH AVENUE EXPRESS INC,,2018,8,August,1989,0,10
B02901,GALLANT LUXURY SERVICE CORP.,,2020,9,September,377,0,4
B02868,CHA CHA TRANSPORTATION CORP,,2019,7,July,1484,0,10
B03040,ZYT EXPRESS CORP.,,2017,7,July,983,0,11
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2018,6,June,671,0,5
B02491,CALL THREES LLC,,2021,4,April,49,0,2
B01313,JOY CAR SERVICES INC.,,2015,3,March,614,0,66
B02930,V.I.T. BLACK CAR TRANSPORTATION CORP.,,2019,3,March,11,0,7
B01445,J T TRANSPORTATION CO INC,,2021,7,July,1812,0,23
B01445,J T TRANS CO INC,,2018,2,February,172,0,54
JUNO,JUNO,JUNO,2016,4,April,5338,0,3780
B01016,810 CAR SVCE CORP,,2018,1,January,6399,0,29
B01553,CITY LINE CAR SERVICE INC,,2020,3,March,3208,0,22
B01444,REGO PARK EXPRESS INC.,,2016,5,May,9273,0,22
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2019,1,January,5470,0,43
B00619,"HOLA CAR SERVICE,INC.",,2021,6,June,265,0,4
B02898,SANO CAR LLC,,2016,2,February,1135,0,13
B01843,"VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.",VINCENT LIMOUSINE,2021,1,January,373,0,13
B03030,Q-FIRST LIMOUSINE CORP.,,2017,5,May,245,0,13
B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,2017,10,October,4413,0,87
B02191,US LIMO SYSTEM INC,,2015,4,April,942,0,24
B00078,R & R ROAD LIMO SVCE INC,,2022,6,June,441,0,24
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2019,9,September,425,0,9
B00112,"AYY&M TRANSPORTATION, LLC",HARBORVIEW CAR SERVICE,2021,1,January,3893,0,12
B00225,DELANCEY TRANSPORTATION INC.,,2022,5,May,7358,0,61
B02972,BLESSING TRANSPORTATION GROUP INC,,2022,3,March,1807,0,18
B03023,HERMANY LIMO TRANSPORTATION LLC,,2021,9,September,421,0,5
B00009,T-D MAINTENANCE,FOUR ONES CAR SERVICE,2018,6,June,2932,0,20
B02107,APOLLO RADIO DISPATCH INC.,,2019,6,June,9173,0,72
B01923,"AVID INTERNATIONAL, INC.",,2017,9,September,1075,0,18
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2015,5,May,5170,0,19
B00411,FONE-A-CAR INC,,2021,3,March,379,0,119
B00419,KOOP DISPATCHING INC.,,2019,4,April,2348,0,6
B02229,NEW FAT INC.,ELEGANTE,2020,10,October,942,0,7
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2019,6,June,3142,0,10
B02207,"EASTERN LUXURY, INC.",,2022,4,April,2,0,2
B01341,A NEW DAY RAD DISP INC,,2016,2,February,8132,0,45
B02814,BELL LX INC,,2021,9,September,4152,0,20
B02243,BARONAS LUXURY II INC,,2020,9,September,3743,0,54
B00827,"CASTLE CAR SERVICE, INC",,2016,1,January,2243,0,15
B00054,128 BLUE BIRD TRANSPORT INC.,LATCH CAR SERVICE,2019,7,July,712,0,5
B02243,BARONAS LUXURY II INC,,2019,10,October,10912,0,155
B01454,FREEDOM LIMO & CAR SERVICE,,2018,1,January,12758,0,59
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2019,12,December,4791,0,47
B01386,FENIX PREMIUM CORP.,,2019,9,September,1612,0,7
B02424,FRIENDLY RIDE INC,,2016,8,August,658,0,34
B03033,FLEX EXPRESS CORP.,,2021,10,October,2485,0,19
B01386,FENIX PREMIUM CORP.,,2016,3,March,31381,0,100
B02774,ALFRED HOLDINGS INC.,ALFRED EXECUTIVE TRANSPORTATION,2016,12,December,3158,0,36
B00419,KOOP DISPATCHING INC.,,2016,4,April,269,0,4
B00919,HARLEM CARS INC.,,2020,6,June,261,0,15
B02994,99 CAR SERVICES INC.,,2017,11,November,132,0,3
B03208,MACOMBS TRANSPORTION CORP.,,2022,3,March,795,0,13
B02213,"EXPRESS 11 CAR SERVICE, INC.",,2016,2,February,4900,0,27
B02003,"AVALON CORPORATE CAR,INC.",,2020,4,April,1944,0,24
B02825,GUADALUPANA II CAR & LIMO INC,,2017,9,September,3323,0,17
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2018,10,October,12288,0,78
B00628,"CONCORD LIMOUSINE 1, LLC",,2017,11,November,9055,0,282
B02532,COZY RIDE LIMOUSINE INC,COZY TRANSIT,2015,12,December,1413,0,14
B01280,BENSONHURST RIDE INC.,,2021,12,December,1122,0,7
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,2018,1,January,7163,0,198
B03257,MAXI LUXURY CARS CORP.,,2020,8,August,3420,0,25
B01341,A NEW DAY RAD DISP INC,,2020,12,December,102,0,4
B02217,PCS LIMOUSINE INC.,,2016,2,February,529,0,9
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2018,2,February,113,0,10
B01777,PREMIUM RADIO DISP & MULTI SVC,,2018,6,June,9842,0,89
B02597,"RUDY'S LIMOUSINE SERVICE, INC.",RUDY'S EXECUTIVE TRANSPORTATION,2015,5,May,30,0,12
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2021,6,June,3671,0,43
B02360,BRIDGES LIMOUSINE INC,EXCELLENT LIMOUSINE,2017,8,August,243,0,8
B03166,TURING ENTERPRISES INC.,,2021,3,March,339,0,3
B02853,SAFE RIDES CAR & LIMO SERVICES INC,,2019,3,March,27,0,5
B01614,R TRANSPORT INC,,2019,12,December,331,0,7
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2020,10,October,62,0,8
B02537,ALLTOWN LIMO CORP.,,2021,9,September,3808,0,32
B02546,X RADIO DISPATCHER INC.,,2021,5,May,6791,0,34
B01871,"ALPINE LIMOUSINE SERVICE, INC.",,2020,6,June,1414,0,44
B02468,GROUNDLINK HOLDINGS LLC,GROUNDLINK YOUR'E GOOD TO GO,2015,4,April,3789,0,56
b02346,PIA CAR LIMO. INC.,,2017,5,May,133,0,4
B01231,GO CAR CORP.,,2019,8,August,11209,0,162
B01990,SUK INCORPORATED,RAINBOW LIMO,2016,1,January,847,0,50
B01128,PAK-EAGLE INC.,JEWEL CAR SERVICE,2018,7,July,1624,0,5
B03011,GOOD DAY TRANSPORTATION INC,,2019,2,February,93,0,6
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,2020,9,September,4446,0,170
B01626,LA NUEVA QUISQUEYA C/S INC,,2019,10,October,23885,0,93
B01679,OLLIE'S TRANSPORTATION SERVICE,OLLIE'S AIRPORT SERVICE,2019,8,August,1015,0,18
B00888,ACE C/L SVCE INC,,2018,5,May,1738,0,39
B03200,L & J LOGISTICS CORP.,,2020,11,November,363,0,11
B01777,PREMIUM RADIO DISP & MULTI SVC,,2018,11,November,9386,0,80
B02962,"HEALTH BLACK CAR SERVICES, CORP",ADON,2017,11,November,244,0,9
B01197,"TEL-A-CAR OF NEW YORK, LLC",,2020,3,March,512,0,35
B00225,DELANCEY TRANSPORTATION INC.,,2019,2,February,5670,0,36
B00693,BUSHWICK CAR SVCE INC,,2019,10,October,167,0,2
B02213,"EXPRESS 11 CAR SERVICE, INC.",,2017,6,June,3669,0,19
B03046,"BEL-LINDA, INC",ISLANDER TRANS,2021,6,June,2571,0,20
B01738,SAETA CAR SERVICE INC.,,2018,12,December,2671,0,13
B01877,U.S.A. LIMO. INC.,BLUE LINE,2021,5,May,606,0,124
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2017,9,September,17441,0,96
B02857,MATHES SERVICE INC.,NUNU ROCHDALE CAR SERVICE,2017,11,November,1237,0,8
B02838,THA MAYA CAR SERVICE INC,,2019,6,June,550,0,9
B01537,S.I. SPEED INC.,,2021,11,November,1018,0,3
B02292,NEW YORK APPLE V.I.P. CORP,,2020,8,August,6060,0,45
B01700,LINDEN EXPRESS CAR SERVICES INC.,,2019,5,May,1042,0,6
B00552,HINO-MARU ENTERPRISES INC.,,2018,6,June,484,0,39
B02055,"MONTAGUE MANAGEMENT SERVICES, INC.",PROMINENT CAR & LIMO,2022,1,January,206,0,1
B02162,A B C SHUTTLE SERVICES CORPORATION,ABC CAR SERVICES,2021,9,September,4159,0,37
B03002,"REYNO,INC.",,2017,2,February,1011,0,9
B00692,"CHEERS DISPATCH,INC.",SEVENTH AVE CAR SERVICE,2019,7,July,2936,0,13
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2016,5,May,11446,0,54
B02727,OSCAR LIMOUSINE INC,,2022,1,January,85,0,6
B02899,NEW BLACK LUXURY CARS CORP,,2018,1,January,9534,0,33
B03057,PROSPECT LUXURY CAR SERVICE,,2021,8,August,149,0,2
B00639,ROCAPULCO CAR SERVICE INC.,,2017,9,September,691,0,7
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,,2021,1,January,1225,0,15
B03206,KIDMOTO TECHNOLOGIES LLC,,2021,10,October,61,0,11
B00937,RIVERSIDE RADIO DISPATCHER,,2020,9,September,14418,0,81
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2017,5,May,6088,0,87
B02569,LAPUMA GO GREEN LLC,GO GREENRIDE,2021,7,July,226,0,24
B00559,7 OCEAN EXPRESS INC.,,2017,3,March,6673,0,45
b01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2016,7,July,2660,0,21
B01318,LOWER EAST SIDE C/S CORP,,2016,3,March,15330,0,67
B03291,TRACY LUXURY CORP.,,2021,10,October,302,0,5
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2020,4,April,3658,0,74
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2018,10,October,30496,0,161
B01315,"V.I.T. CAR SERVICE, INC.",,2017,11,November,22532,0,110
B01362,AMERICAN BASE NO.1 INC.,,2015,6,June,32021,0,216
B00449,A KINGS HWY C/S INC.,,2016,7,July,5123,0,18
B03028,CASTILLO CAR & LIMO INC,,2021,4,April,945,0,5
B01727,"CHAUFFEUR SERVICES, INC.",NICE GUYS LIMO,2018,7,July,9,0,1
B02103,A & S LIMOUSINE SERVICE CORP,,2016,2,February,165,0,22
B03240,ARECIBO EXPRESS INC.,,2020,9,September,561,0,18
B03076,CHARRITOS BLACK CAR INC,,2018,6,June,462,0,3
B01197,"TEL-A-CAR OF NEW YORK, LLC",,2015,2,February,6643,0,114
B03016,BEST DEAL BLACK INC.,,2017,7,July,7,0,5
B01263,"RACHEL'S CAR SERVICE,INC.",,2018,7,July,2591,0,11
B02995,"ACCREDITED LIMOUSINE SERVICE, LLC",,2018,1,January,391,0,12
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",,2018,3,March,8,0,1
B02732,KESHES INC,,2018,12,December,2058,0,14
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2018,3,March,87,0,7
B01336,BAY EXPRESS CORP.,,2019,3,March,2453,0,18
B02658,ASCONA CAR SERVICE INC.,,2022,5,May,672,0,5
B00277,ALL CITY CORP TRANS INC,,2016,3,March,2871,0,50
B00948,510 CAR SERVICE CORP,,2021,8,August,1179,0,11
B02868,CHA CHA TRANSPORTATION CORP,,2018,2,February,508,0,6
B01970,GRAFE STREET SERVICE CORP.,,2021,11,November,170,0,5
B00411,FONE-A-CAR INC,,2022,3,March,358,0,100
B01420,A.M.N. MANAGEMENT INC.,ALWAYS READY C/S,2020,6,June,381,0,2
B02951,"APPROACH QUALITY TRANSPORTATION, LLC",,2019,8,August,347,0,3
B01928,DISCOVER LIMO INC,INFINITY LIMO,2019,1,January,39,0,10
B01016,810 CAR SVCE CORP,,2020,8,August,3158,0,15
B02819,FIVE STAR LUXURY INC.,,2019,3,March,435,0,3
B02253,"CRESTWOOD CAR & LIMO SVC,LTD",,2019,4,April,1091,0,19
B00280,FLEET RADIO DISPATCH CORP.,MINUTEMEN,2017,3,March,4111,0,76
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2020,9,September,27,0,2
